CIM
MGNX
CIEN
SWKS
CCH
EVRI
FULT
CC
APTV
GGAL
IQV
STNG
IAC
IVZ
SOGO
CIG
LB
MEIP
OVID
HUYA
JEF
CNHI
ACI
FHN
BDN
SGMS
RVLV
GLNG
RTX
ATHX
DHC
OHI
ARES
MOS
ALGN
APPS
QTT
ZBH
RDFN
SCI
ACC
AFMD
WPC
IPHI
FBP
TSM
HL
FLS
REAL
CCXX
FCX
MLCO
TDOC
HPQ
SYF
RIGL
PBYI
ZIXI
PCG
EXC
GES
IMGN
NSC
PDCE
URBN
MOMO
UDR
NVCR
FVAC
BTI
DVA
NUE
PDD
CHX
LPX
NNN
SONO
NAVI
BLMN
GSKY
ASX
CLF
LRCX
SLB
TMHC
GNTX
SPR
WKHS
PTON
TFC
EW
NEX
KAR
ICPT
ET
LX
RF
WPX
KDMN
ATRA
UNFI
CONE
WCC
FND
EB
CRNC
AVGO
SSYS
MMP
TWLO
FINV
VALE
SKX
CNO
HXL
WTI
SCHW
PRVB
DENN
TRTX
HMY
PRTS
WYND
RWT
SLM
XHR
FOUR
IP
HLF
BKU
WDR
PWR
WES
DOCU
XEL
ADVM
MHK
SID
CGEN
LUV
EDU
NOW
BMRN
LAUR
ERIC
FISV
CCC
MFGP
CTL
H
CLNE
CHRS
ABEV
MTCH
FTCH
TEX
DBD
PSTG
VIPS
RPAI
INFN
SGEN
NXPI
VRT
SNV
MIK
FLEX
ASB
EC
STLD
HLT
FTNT
GRPN
SHLX
SWBI
STOR
SDC
TTM
TRGP
DLPH
GPMT
LLNW
ADAP
CCK
ATVI
NOK
CB
MGNI
MET
CRSP
USFD
WETF
PTEN
KALA
LTRPA
PXD
DOYU
AER
TS
AAXN
TXT
ETRN
PSX
SUM
CHD
GPK
VRTX
D
KTB
WSC
PGEN
W
MRSN
CFG
SABR
CHGG
INSG
SVC
CHRW
AZEK
STM
CNP
HPE
SMPL
GPN
PE
AIV
TT
ARLO
TBIO
CNX
BGCP
CXW
AVYA
CXO
ALB
PVH
CERN
FL
TCOM
DK
YY
DHT
ISEE
FMCI
ENIA
BILI
TWTR
LILAK
AMCR
AXP
MU
ENDP
MS
UNIT
DBX
OLN
ADNT
IQ
FLR
VGR
DDD
TDC
QRTEA
LEG
MT
TRIP
FTI
MRVL
CMCM
TWO
ETR
ARNC
MD
WRK
KEY
TSU
ELAN
GNMK
Z
NLY
ATUS
WMG
CPRT
CHEF
BYD
BBD
FRO
FWONK
O
CVA
RLJ
DD
PFGC
ANGI
WFC
NEO
ROIC
AMRS
SBGI
LNC
FHB
BWA
THO
CREE
FSLR
MYOV
DXCM
ITUB
CLB
SIX
DRH
DEI
PDCO
BLNK
CVX
VBIV
ALXN
GIII
MDP
LGF-A
PBF
KBR
VSTO
ESNT
TEVA
BZUN
HST
COP
ESTC
HCA
DISH
APA
ADT
CMA
GRMN
VRRM
NYMT
QCOM
NRZ
INCY
JWN
HIG
ENLC
BIDU
MNST
PAA
DNOW
AA
GEO
ANTM
HIMX
NOV
MCK
DKS
WELL
NLSN
PBR-A
KMI
WRI
LKQ
FOLD
KSU
CSX
SFM
MTG
EURN
IR
ABUS
EWBC
WDC
AYX
YEXT
FIT
SRG
EGHT
TXRH
DVN
OI
XOM
ZIOP
PII
SWK
GM
BSIG
PMT
INN
SBUX
TRUE
VRM
VLO
INTC
EDIT
DRI
EBAY
DKNG
CARR
CRBP
APLE
DLR
RRR
SLG
ELS
TAP
ALKS
GO
LEN
BLUE
SBRA
APG
SPWR
WW
AVB
PACB
CXP
SAN
CAN
IPG
CBRE
L
GS
NPTN
BSBR
IHRT
YETI
CTLT
BXMT
LHX
ATH
VLY
ZTO
JKS
CTSH
CADE
GFI
URI
CERS
AVTR
HSIC
EPD
GGB
COF
CTVA
AOS
AMTD
CEQP
CINF
ZYXI
DAN
FIVE
JBL
UNM
ADSK
CAH
VG
OSUR
