close,high,low,open,timestamp,volume,symbol,date_key_int,time_key
94.1,94.1,94.0,94.0,1611738000,3353,AMD,20210127,04:00:00
94.03,94.05,94.03,94.03,1611738060,1124,AMD,20210127,04:01:00
94.03,94.03,94.03,94.03,1611738120,1458,AMD,20210127,04:02:00
94.04,94.05,94.03,94.03,1611738180,3768,AMD,20210127,04:03:00
94.1,94.1,94.05,94.05,1611738240,2520,AMD,20210127,04:04:00
94.1,94.1,94.05,94.05,1611738300,933,AMD,20210127,04:05:00
94.1,94.1,94.1,94.1,1611738360,711,AMD,20210127,04:06:00
94.08,94.08,94.08,94.08,1611738420,436,AMD,20210127,04:07:00
94.08,94.09,94.08,94.09,1611738480,607,AMD,20210127,04:08:00
94.04,94.09,94.04,94.09,1611738540,1240,AMD,20210127,04:09:00
94.06,94.06,94.05,94.05,1611738600,1482,AMD,20210127,04:10:00
94.12,94.12,94.05,94.06,1611738660,3491,AMD,20210127,04:11:00
94.04,94.04,94.04,94.04,1611738720,656,AMD,20210127,04:12:00
94.03,94.04,94.03,94.04,1611738780,1492,AMD,20210127,04:13:00
94.04,94.04,94.04,94.04,1611738840,420,AMD,20210127,04:14:00
94.05,94.05,94.05,94.05,1611738960,635,AMD,20210127,04:16:00
93.78,93.81,93.78,93.81,1611739620,2563,AMD,20210127,04:27:00
94.0,94.0,93.81,93.81,1611739680,3097,AMD,20210127,04:28:00
93.81,93.81,93.81,93.81,1611739800,487,AMD,20210127,04:30:00
93.66,93.66,93.66,93.66,1611740040,442,AMD,20210127,04:34:00
93.59,93.6,93.55,93.6,1611740100,1752,AMD,20210127,04:35:00
93.59,93.59,93.43,93.43,1611740160,2034,AMD,20210127,04:36:00
93.15,93.23,93.15,93.23,1611740220,1084,AMD,20210127,04:37:00
93.33,93.33,93.33,93.33,1611740280,583,AMD,20210127,04:38:00
93.23,93.27,93.23,93.27,1611740460,4396,AMD,20210127,04:41:00
93.5,93.5,93.23,93.23,1611740520,1972,AMD,20210127,04:42:00
93.43,93.43,93.43,93.43,1611740580,656,AMD,20210127,04:43:00
93.41,93.41,93.34,93.34,1611740640,842,AMD,20210127,04:44:00
93.5,93.5,93.5,93.5,1611740760,344,AMD,20210127,04:46:00
93.41,93.41,93.41,93.41,1611740880,257,AMD,20210127,04:48:00
93.3,93.47,93.3,93.47,1611740940,1031,AMD,20210127,04:49:00
93.3,93.31,93.3,93.3,1611741000,1277,AMD,20210127,04:50:00
93.24,93.24,93.23,93.24,1611741060,1280,AMD,20210127,04:51:00
93.22,93.24,93.22,93.24,1611741120,4038,AMD,20210127,04:52:00
93.1,93.1,93.01,93.05,1611741180,1508,AMD,20210127,04:53:00
93.2,93.2,93.2,93.2,1611741240,459,AMD,20210127,04:54:00
93.2,93.2,93.16,93.16,1611741300,3864,AMD,20210127,04:55:00
93.22,93.22,93.22,93.22,1611741360,601,AMD,20210127,04:56:00
93.2,93.2,93.2,93.2,1611741480,349,AMD,20210127,04:58:00
93.0,93.02,93.0,93.02,1611741540,3016,AMD,20210127,04:59:00
93.0,93.0,92.92,93.0,1611741600,2589,AMD,20210127,05:00:00
93.0,93.0,93.0,93.0,1611741660,569,AMD,20210127,05:01:00
92.92,92.94,92.92,92.94,1611741720,3238,AMD,20210127,05:02:00
92.68,92.8,92.68,92.79,1611741840,1175,AMD,20210127,05:04:00
92.5,92.66,92.5,92.66,1611741900,1875,AMD,20210127,05:05:00
