close,high,low,open,timestamp,volume,symbol,date_key_int,time_key
10.98,11.02,10.34,10.42,1514851200,44146332,AMD,20180101,19:00:00
11.55,12.14,11.36,11.61,1514937600,154066661,AMD,20180102,19:00:00
12.12,12.43,11.97,12.095,1515024000,109502970,AMD,20180103,19:00:00
11.88,12.22,11.66,12.19,1515110400,63808946,AMD,20180104,19:00:00
12.28,12.3,11.85,12.01,1515369600,63346034,AMD,20180107,19:00:00
11.82,12.02,11.71,12.0,1515456000,62560940,AMD,20180108,19:00:00
11.96,12.15,11.56,11.63,1515542400,52561170,AMD,20180109,19:00:00
12.14,12.19,11.9001,12.07,1515628800,38354916,AMD,20180110,19:00:00
12.02,12.07,11.8,11.82,1515715200,47149344,AMD,20180111,19:00:00
11.91,12.2,11.8,12.05,1516060800,42686623,AMD,20180115,19:00:00
12.18,12.19,11.82,11.9,1516147200,39020825,AMD,20180116,19:00:00
12.47,12.68,12.15,12.18,1516233600,62086151,AMD,20180117,19:00:00
12.59,12.88,12.54,12.56,1516320000,46800669,AMD,20180118,19:00:00
12.65,12.74,12.37,12.61,1516579200,34758615,AMD,20180121,19:00:00
12.94,12.995,12.76,12.82,1516665600,46417226,AMD,20180122,19:00:00
12.71,13.05,12.6,13.02,1516752000,41956439,AMD,20180123,19:00:00
12.41,12.94,12.32,12.78,1516838400,42966567,AMD,20180124,19:00:00
12.95,12.95,12.62,12.7,1516924800,44238971,AMD,20180125,19:00:00
13.32,13.47,13.05,13.13,1517184000,66645418,AMD,20180128,19:00:00
12.87,13.27,12.69,13.12,1517270400,91236383,AMD,20180129,19:00:00
13.74,13.85,13.15,13.24,1517356800,140977843,AMD,20180130,19:00:00
13.25,13.84,13.21,13.62,1517443200,67543333,AMD,20180131,19:00:00
12.45,13.06,12.43,13.05,1517529600,79432558,AMD,20180201,19:00:00
11.57,12.18,10.93,12.05,1517788800,116568862,AMD,20180204,19:00:00
11.65,11.74,11.0,11.04,1517875200,87123202,AMD,20180205,19:00:00
11.6,11.9,11.53,11.7,1517961600,55758364,AMD,20180206,19:00:00
11.22,11.85,11.21,11.72,1518048000,56471761,AMD,20180207,19:00:00
11.31,11.57,10.63,11.54,1518134400,85458235,AMD,20180208,19:00:00
11.68,11.8,11.43,11.47,1518393600,63160875,AMD,20180211,19:00:00
11.78,11.82,11.53,11.6,1518480000,33661383,AMD,20180212,19:00:00
12.2,12.31,11.63,11.72,1518566400,51756817,AMD,20180213,19:00:00
12.19,12.625,12.07,12.4,1518652800,59593761,AMD,20180214,19:00:00
11.82,12.225,11.82,12.11,1518739200,47332348,AMD,20180215,19:00:00
12.02,12.19,11.71,11.72,1519084800,47096492,AMD,20180219,19:00:00
11.72,12.12,11.72,12.12,1519171200,40195847,AMD,20180220,19:00:00
11.84,11.995,11.63,11.82,1519257600,37886263,AMD,20180221,19:00:00
12.07,12.16,11.94,11.95,1519344000,33317579,AMD,20180222,19:00:00
12.42,12.43,12.05,12.14,1519603200,42265208,AMD,20180225,19:00:00
12.53,12.88,12.39,12.43,1519689600,55975268,AMD,20180226,19:00:00
12.11,12.73,12.1,12.66,1519776000,43387460,AMD,20180227,19:00:00
11.9,12.27,11.66,12.26,1519862400,63207377,AMD,20180228,19:00:00
11.81,11.93,11.43,11.67,1519948800,58123518,AMD,20180301,19:00:00
11.91,12.055,11.61,11.69,1520208000,43734836,AMD,20180304,19:00:00
11.76,12.045,11.71,12.01,1520294400,46751179,AMD,20180305,19:00:00
12.24,12.82,11.55,11.58,1520380800,127603194,AMD,20180306,19:00:00
11.97,12.59,11.74,12.395,1520467200,76011217,AMD,20180307,19:00:00
11.7,12.0392,11.58,12.03,1520553600,89674365,AMD,20180308,19:00:00
11.52,11.82,11.48,11.76,1520812800,83748671,AMD,20180311,20:00:00
11.64,12.035,11.095,11.5,1520899200,174302560,AMD,20180312,20:00:00
11.36,11.72,11.26,11.7,1520985600,80540846,AMD,20180313,20:00:00
11.46,11.55,11.19,11.43,1521072000,66373911,AMD,20180314,20:00:00
11.47,11.55,11.32,11.49,1521158400,37590983,AMD,20180315,20:00:00
11.43,11.74,11.351,11.41,1521417600,53308617,AMD,20180318,20:00:00
11.11,11.52,11.0,11.41,1521504000,65116930,AMD,20180319,20:00:00
